ID,Name,Type,Organization
7196,"SAEZ DE EGUILAZ MURGUIONDO, Carlos",individual,SDGT
7197,"URANGA ARTOLA, Kemen",individual,SDGT
7198,"VILA MICHELENA, Fermin",individual,SDGT
7199,AL-HARAMAIN ISLAMIC FOUNDATION,-0- ,SDGT
7200,AL-AQSA MARTYRS BRIGADE,-0- ,FTO] [SDGT
7201,THE AID ORGANIZATION OF THE ULEMA,-0- ,SDGT
7203,"AOUADI, Mohamed Ben Belgacem",individual,SDGT
7204,"BEN HENI, Lased",individual,SDGT
7205,"BOUCHOUCHA, Mokhtar",individual,SDGT
7207,"ES SAYED, Abdelkader Mahmoud",individual,SDGT
7208,"ESSID, Sami Ben Khemais",individual,SDGT
7209,"AL-FAWAZ, Khalid Abd al-Rahman Hamd",individual,SDGT
7210,"AL-MASRI, Abu Hamza",individual,SDGT
7211,"APAOLAZA SANCHO, Ivan",individual,SDGT
7212,"BERASATEGUI ESCUDERO, Ismael",individual,SDGT
7213,"GALLASTEGUI SODUPE, Lexuri",individual,SDGT
7214,"PALACIOS ALDAY, Gorka",individual,SDGT
7215,"QUINTANA ZORROZUA, Asier",individual,SDGT
7216,"RUBENACH ROIG, Juan Luis",individual,SDGT
7217,"ZUBIAGA BRAVO, Manex",individual,SDGT
7219,ASKATASUNA,-0- ,SDGT
7220,"DA COSTA, Luis Fernando",individual,SDNTK
7221,"GONZALEZ QUIRARTE, Eduardo",individual,SDNTK
7222,"IBRAHIM, Haji",individual,SDNTK
7223,"KNOWLES, Samuel",individual,SDNTK
7224,"TUITO, Oded",individual,SDNTK
7226,"ZAMBADA GARCIA, Ismael",individual,SDNTK] [ILLICIT-DRUGS-EO14059
7227,BABBAR KHALSA INTERNATIONAL,-0- ,SDGT
7228,INTERNATIONAL SIKH YOUTH FEDERATION,-0- ,SDGT
7234,NEW PEOPLE'S ARMY / COMMUNIST PARTY OF THE PHILIPPINES,-0- ,FTO] [SDGT
7235,"SISON, Jose Maria",individual,SDGT
7251,"BEN SOLTANE, Adel",individual,SDGT
7252,"BEN ATTIA, Nabil Ben Mohamed Ben Ali",individual,SDGT
7253,"CHEKKOURI, Yassine",individual,SDGT
7254,"JELASSI, Riadh Ben Belkassem Ben Mohamed",individual,SDGT
7255,"KAMMOUN, Mehdi",individual,SDGT
7256,"KISHK, Samir",individual,SDGT
7257,"MAAROUFI, Tarek Ben Habib Ben Al-Toumi",individual,SDGT
7258,"REMADNA, Abdelhalim",individual,SDGT
7259,"THAER, Mansour",individual,SDGT
7260,"TLILI, Al-Azhar Ben Ammar Ben Abadallah",individual,SDGT
7261,"WADDANI, Habib",individual,SDGT
7262,EASTERN TURKISTAN ISLAMIC MOVEMENT,-0- ,SDGT
7263,"JULAIDAN, Wa'el Hamza Abd Al-Fatah",individual,SDGT
7264,"BAHAJI, Said",individual,SDGT
7265,"BINALSHIBH, Ramzi Mohammed Abdullah",individual,SDGT
7266,"EL MOTASSADEQ, Mounir",individual,SDGT
7267,"ESSABAR, Zakarya",individual,SDGT
7268,TUNISIAN COMBAT GROUP,-0- ,SDGT
7269,"GLOBAL RELIEF FOUNDATION, INC.",-0- ,SDGT
7270,"GLOBAL RELIEF FOUNDATION, INC.",-0- ,SDGT
7280,JEMAA ISLAMIYAH,-0- ,FTO] [SDGT
7281,"GOMEZ BUSTAMANTE, Luis Hernando",individual,SDNT
7282,"MONTOYA SANCHEZ, Diego Leon",individual,SDNT
7283,AGRICOLA DOIMA DEL NORTE DEL VALLE LTDA.,-0- ,SDNT
7284,AGROPECUARIA MIRALINDO S.A.,-0- ,SDNT
7285,ARIZONA S.A.,-0- ,SDNT
7286,GANADERIA EL VERGEL LTDA.,-0- ,SDNT
7287,GANADERIAS BILBAO LTDA.,-0- ,SDNT
7288,INMOBILIARIA EL ESCORIAL LTDA.,-0- ,SDNT
7289,INMOBILIARIA LINARES LTDA.,-0- ,SDNT
7290,INMOBILIARIA PASADENA LTDA.,-0- ,SDNT
7291,INVERSIONES LA QUINTA Y CIA. LTDA.,-0- ,SDNT
7292,LADRILLERA LA CANDELARIA LTDA.,-0- ,SDNT
7293,MONTOYA LUNA E HIJOS Y CIA. S.C.S.,-0- ,SDNT
7294,ORGANIZACION LUIS HERNANDO GOMEZ BUSTAMANTE Y CIA S.C.S.,-0- ,SDNT
7295,VISCAYA LTDA.,-0- ,SDNT
7302,"GOMEZ APONTE, Laura Victoria",individual,SDNT
7303,"GOMEZ GOMEZ, Viviana",individual,SDNT
7304,"GOMEZ JARAMILLO, Olga Cecilia",individual,SDNT
7308,"HURTADO ROMERO, Jairo Jose",individual,SDNT
7311,"MENDEZ SALAZAR, John Jairo",individual,SDNT
7313,"MONTOYA SANCHEZ, Eugenio",individual,SDNT
7314,"MONTOYA SANCHEZ, Juan Carlos",individual,SDNT
7316,"RUIZ CASTANO, Maria Helena",individual,SDNT
7317,"ECHEBERRIA SIMARRO, Leire",individual,SDGT
7318,"ECHEGARAY ACHIRICA, Alfonso",individual,SDGT
7319,"IZTUETA BARANDICA, Enrique",individual,SDGT
7320,"VALLEJO FRANCO, Inigo",individual,SDGT
7321,BENEVOLENCE INTERNATIONAL FOUNDATION,-0- ,SDGT
7322,BENEVOLENCE INTERNATIONAL FUND,-0- ,SDGT
7323,BOSANSKA IDEALNA FUTURA,-0- ,SDGT
7324,MOROCCAN ISLAMIC COMBATANT GROUP,-0- ,SDGT
7325,LAJNAT AL DAAWA AL ISLAMIYYA,-0- ,SDGT
7326,"SAYADI, Nabil Abdul Salam",individual,SDGT
7328,"ISAMUDDIN, Nurjaman Riduan",individual,SDGT
7329,"ABDURRAHMAN, Mohamad Iqbal",individual,SDGT
7330,STICHTING BENEVOLENCE INTERNATIONAL NEDERLAND,-0- ,SDGT
7331,LASHKAR I JHANGVI,-0- ,FTO] [SDGT
7471,"HEKMATYAR, Gulbuddin",individual,SDGT
7472,ANSAR AL-ISLAM,-0- ,FTO] [SDGT
7473,THE RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS,-0- ,SDGT
7474,THE SPECIAL PURPOSE ISLAMIC REGIMENT,-0- ,SDGT
7475,THE ISLAMIC INTERNATIONAL BRIGADE,-0- ,SDGT
7489,"CHIWENGA, Constantino Guveya",individual,GLOMAG
7513,"MNANGAGWA, Emmerson Dambudzo",individual,GLOMAG
7522,"MUCHINGURI, Oppah Charm Zvipange",individual,GLOMAG
7574,"VALENCIA TRUJILLO, Joaquin Mario",individual,SDNT
7576,BANANERA AGRICOLA S.A.,-0- ,SDNT
7579,CIA. MINERA DAPA S.A.,-0- ,SDNT
7580,COMPANIA DE FOMENTO MERCANTIL S.A.,-0- ,SDNT
7581,CONSTRUCCIONES PROGRESO DEL PUERTO S.A.,-0- ,SDNT
7583,CREDISA S.A.,-0- ,SDNT
7584,CRIADERO LA LUISA E.U.,-0- ,SDNT
7585,DRAGADOS Y MUELLES GAVIOTA LTDA.,-0- ,SDNT
7589,GRANJA LA SIERRA LTDA.,-0- ,SDNT
7590,GRAN MUELLE S.A.,-0- ,SDNT
7593,MIRA E.U.,-0- ,SDNT
7595,OCCIDENTAL DE PAPELES LTDA.,-0- ,SDNT
7598,SERVICIO AEREO DE SANTANDER E.U.,-0- ,SDNT
7600,UNIDAS S.A.,-0- ,SDNT
7618,"MONTANO ALVAREZ, Luis Hernando",individual,SDNT
7631,TODOBOLSAS Y COLSOBRES,-0- ,SDNT
7637,AL-AQSA FOUNDATION,-0- ,SDGT
7638,AL-AQSA E.V.,-0- ,SDGT
7639,STICHTING AL-AQSA,-0- ,SDGT
7640,FORENINGEN AL-AQSA,-0- ,SDGT
7641,AL-AQSA,-0- ,SDGT
7642,AQSSA SOCIETY YEMEN,-0- ,SDGT
7643,AL-AQSA FOUNDATION,-0- ,SDGT
7644,AL-AQSA FOUNDATION,-0- ,SDGT
7645,AL-AQSA FOUNDATION,-0- ,SDGT
7647,"ADEMI, Xhevat",individual,BALKANS
7648,"ADILI, Gafur",individual,BALKANS
7649,ALBANIAN NATIONAL ARMY,-0- ,BALKANS
7650,"ALISPAHIC, Bakir",individual,BALKANS
7651,ARMY OF THE REPUBLIC OF ILIRIDA,-0- ,BALKANS
7653,"BAJAGIC, Zvonko",individual,BALKANS
7655,"BANOVIC, Predrag",individual,BALKANS
7656,"BEQIRI, Idajet",individual,BALKANS
7657,"BEXHETI, Nuri",individual,BALKANS
7658,BIO CORPORATION,-0- ,BALKANS
7659,"BJELICA, Milovan",individual,BALKANS
7660,"BLAGOJEVIC, Vidoje",individual,BALKANS
7661,"BLASKIC, Tihomir",individual,BALKANS
7662,"BORAVCANIN, Ljubomir",individual,BALKANS
7664,"BOSKOVSKI, Ljube",individual,BALKANS
7665,"BRDJANIN, Radoslav",individual,BALKANS
7666,"BUTKA, Spiro",individual,BALKANS
7668,"CERKEZ, Mario",individual,BALKANS
7669,"CESIC, Ranko",individual,BALKANS
7670,"CESIC-ROJS, Ljubo",individual,BALKANS
7671,CETNIK RAVNAGORSKI POKRET,-0- ,BALKANS
7672,"CORIC, Valentin",individual,BALKANS
7673,"DALIPI, Tahir",individual,BALKANS
7674,"DELIC, Hazim",individual,BALKANS
7677,"DOSEN, Damir",individual,BALKANS
7678,"ELSHANI, Gafur",individual,BALKANS
7679,FRONT FOR ALBANIAN NATIONAL UNITY,-0- ,BALKANS
7680,"FURUNDZIJA, Anto",individual,BALKANS
7681,"FUSTAR, Dusan",individual,BALKANS
